stemming,sampling,features,algorithms,accuracy,precision,recall,f1,auc_roc
simple,under,statistics_tfidf,Random Forest,0.9004037685060565,0.9655172413793104,0.8301886792452831,0.8927536231884059,0.9839035736022954
simple,under,statistics_tfidf,GBDT,0.882907133243607,0.9104046242774566,0.8490566037735849,0.8786610878661087,0.9661840999333391
simple,under,statistics_tfidf,NN,0.9676985195154778,0.977961432506887,0.9568733153638814,0.9673024523160764,0.9951743326667246
simple,under,statistics_tfidf_pos,Logistic Regression,0.8775235531628532,0.8932584269662921,0.8571428571428571,0.874828060522696,0.9391792018085383
simple,under,statistics_tfidf_pos,K-Nearest Neighbors,0.8425302826379543,0.8256410256410256,0.8679245283018868,0.8462549277266754,0.9107324000811525
simple,under,statistics_tfidf_pos,Support Vector Machine,0.4522207267833109,0.47398843930635837,0.8840970350404312,0.6171213546566322,0.5397356751586819
simple,under,statistics_tfidf_pos,Naive Bayes,0.8492597577388964,0.9743589743589743,0.7169811320754716,0.8260869565217391,0.9510115062458337
simple,under,statistics_tfidf_pos,Decision Tree,0.7994616419919246,0.8384146341463414,0.7412398921832885,0.7868383404864092,0.891585514303104
simple,under,statistics_tfidf_pos,Random Forest,0.9259757738896366,0.9340659340659341,0.9164420485175202,0.9251700680272109,0.9787264875518071
simple,under,statistics_tfidf_pos,GBDT,0.9125168236877523,0.9180327868852459,0.9056603773584906,0.9118046132971507,0.9779004724226878
simple,under,statistics_tfidf_pos,NN,0.971736204576043,0.9888268156424581,0.954177897574124,0.9711934156378602,0.9967321682172565
simple,under,statistics_tfidf_pos_liwc,Logistic Regression,0.901749663526245,0.8880208333333334,0.9191374663072777,0.9033112582781457,0.96180042315161
simple,under,statistics_tfidf_pos_liwc,K-Nearest Neighbors,0.8586810228802153,0.8427835051546392,0.8814016172506739,0.8616600790513835,0.927752659189056
simple,under,statistics_tfidf_pos_liwc,Support Vector Machine,0.44414535666218036,0.4700854700854701,0.889487870619946,0.6150978564771669,0.6338579253977914
simple,under,statistics_tfidf_pos_liwc,Naive Bayes,0.8721399730820996,0.9339622641509434,0.8005390835579514,0.8621190130624092,0.9232530504593803
simple,under,statistics_tfidf_pos_liwc,Decision Tree,0.7900403768506057,0.8825622775800712,0.6684636118598383,0.7607361963190185,0.8964365417499927
simple,under,statistics_tfidf_pos_liwc,Random Forest,0.9004037685060565,0.8938992042440318,0.9083557951482479,0.9010695187165776,0.9683723154508304
simple,under,statistics_tfidf_pos_liwc,GBDT,0.9394347240915208,0.9267015706806283,0.954177897574124,0.9402390438247012,0.9830449526128163
simple,under,statistics_tfidf_pos_liwc,NN,0.9730820995962315,0.975609756097561,0.9703504043126685,0.9729729729729729,0.9971451757818159
simple,over,statistics,Logistic Regression,0.7598814229249012,0.7917783735478106,0.3411628802464382,0.4768568353067815,0.7843975622549917
simple,over,statistics,K-Nearest Neighbors,0.8584486166007905,0.7448531893351333,0.8498267231420871,0.793884892086331,0.944294243858389
simple,over,statistics,Support Vector Machine,0.3136116600790514,0.3068893528183716,0.9056603773584906,0.45843485040444404,0.5954812171191135
simple,over,statistics,Naive Bayes,0.6781126482213439,0.40816326530612246,0.007701193685021178,0.01511715797430083,0.4018679701136546
simple,over,statistics,Decision Tree,0.7388833992094862,0.728909952606635,0.2961108971890643,0.4211391018619934,0.6896662977124066
simple,over,statistics,Random Forest,0.7880434782608695,0.7137311984473557,0.5664227955333077,0.6316015457277802,0.8279960307832075
simple,over,statistics,GBDT,0.7839673913043478,0.7183316168898043,0.5371582595302272,0.6146728354263054,0.8196053848975797
simple,over,statistics,NN,0.7730978260869565,0.7351485148514851,0.45745090489025797,0.5639686684073107,0.7912484945804897
simple,over,statistics_tfidf,Logistic Regression,0.9240365612648221,0.9275237273511648,0.8278783211397767,0.8748728382502543,0.9720942716297423
simple,over,statistics_tfidf,K-Nearest Neighbors,0.8830286561264822,0.7330508474576272,0.9992298806314979,0.8456900765846506,0.9956566822140029
simple,over,statistics_tfidf,Support Vector Machine,0.31311758893280633,0.30916816894154003,0.9245283018867925,0.4633793303097559,0.6097620717681508
simple,over,statistics_tfidf,Naive Bayes,0.8158349802371542,0.9616026711185309,0.4435887562572199,0.6071146245059289,0.9404240754243621
simple,over,statistics_tfidf,Decision Tree,0.7991600790513834,0.9055973266499582,0.41740469772814787,0.5714285714285714,0.7027666597833484
simple,over,statistics_tfidf,Random Forest,0.8165760869565217,0.986013986013986,0.4343473238351945,0.603047313552526,0.9394560694096165
simple,over,statistics_tfidf,GBDT,0.8887104743083004,0.9088717454194792,0.725837504813246,0.8071076857204025,0.935623573663374
simple,over,statistics_tfidf,NN,0.9925889328063241,0.9799470298902762,0.9973045822102425,0.9885496183206107,0.9991157421908125
simple,over,statistics_tfidf_pos,Logistic Regression,0.7995306324110671,0.821664464993395,0.4790142472083173,0.6052055460958404,0.8483433435546758
simple,over,statistics_tfidf_pos,K-Nearest Neighbors,0.870800395256917,0.7128740049409827,1.0,0.8323717948717949,0.9946353882524095
simple,over,statistics_tfidf_pos,Support Vector Machine,0.6854001976284585,0.631578947368421,0.04620716211012707,0.08611410118406888,0.38853642518263726
simple,over,statistics_tfidf_pos,Naive Bayes,0.8548666007905138,0.9298669891172914,0.5922217943781286,0.7235944483650906,0.9150292176902259
simple,over,statistics_tfidf_pos,Decision Tree,0.7933547430830039,0.94,0.38005390835579517,0.5412667946257197,0.687697829752082
simple,over,statistics_tfidf_pos,Random Forest,0.8259634387351779,0.9884868421052632,0.46284174046977283,0.6304746918436926,0.932165949170021
simple,over,statistics_tfidf_pos,GBDT,0.8911808300395256,0.9128970163618865,0.7304582210242587,0.8115508021390375,0.9375327316486919
simple,over,statistics_tfidf_pos,NN,0.991600790513834,0.9802506646410938,0.9938390450519831,0.9869980879541108,0.999060773677967
simple,over,statistics_tfidf_pos_liwc,Logistic Regression,0.8411561264822134,0.8426555148980659,0.620716211012707,0.7148558758314857,0.8970939722789238
simple,over,statistics_tfidf_pos_liwc,K-Nearest Neighbors,0.8670948616600791,0.7070514565750068,1.0,0.8283891547049441,0.9944535370067284
simple,over,statistics_tfidf_pos_liwc,Support Vector Machine,0.314846837944664,0.3094315245478036,0.9222179437812861,0.46338396053013436,0.6300777338799934
simple,over,statistics_tfidf_pos_liwc,Naive Bayes,0.8683300395256917,0.8542341508560851,0.7108201771274547,0.7759562841530054,0.886507386822808
simple,over,statistics_tfidf_pos_liwc,Decision Tree,0.7903903162055336,0.9677754677754677,0.3584905660377358,0.5231806687271705,0.6775833432941879
simple,over,statistics_tfidf_pos_liwc,Random Forest,0.8396739130434783,0.9765223771093177,0.5125144397381595,0.6722222222222223,0.945293375355886
simple,over,statistics_tfidf_pos_liwc,GBDT,0.8935276679841897,0.9233772571986335,0.7285329226030035,0.8144640551011623,0.9478777357426209
simple,over,statistics_tfidf_pos_liwc,NN,0.9932065217391305,0.9836377473363774,0.9953792837889873,0.9894736842105263,0.9990423574755741
large,default,statistics,Logistic Regression,0.9342194955691888,0.639344262295082,0.0967741935483871,0.16810344827586204,0.7905882005725584
large,default,statistics,K-Nearest Neighbors,0.9248466257668712,0.2978723404255319,0.06947890818858561,0.11267605633802817,0.6741862835685697
large,default,statistics,Support Vector Machine,0.9289366053169734,0.18181818181818182,0.009925558312655087,0.018823529411764704,0.3601767621157876
large,default,statistics,Naive Bayes,0.9151329243353783,0.20125786163522014,0.0794044665012407,0.11387900355871886,0.6203601079733654
large,default,statistics,Decision Tree,0.932856169052488,0.5542168674698795,0.1141439205955335,0.18930041152263374,0.7004361161372051
large,default,statistics,Random Forest,0.9340490797546013,0.8333333333333334,0.04962779156327544,0.09367681498829039,0.7833197496361916
large,default,statistics,GBDT,0.935412406271302,0.74,0.09181141439205956,0.16335540838852097,0.798542041731842
large,default,statistics,NN,0.9321745057941377,0.7777777777777778,0.017369727047146403,0.03398058252427184,0.781575285087371
large,default,statistics_tfidf,Logistic Regression,0.9575664621676891,0.8701923076923077,0.4491315136476427,0.5924713584288053,0.973487271810915
large,default,statistics_tfidf,K-Nearest Neighbors,0.9320040899795501,0.532258064516129,0.08188585607940446,0.14193548387096774,0.7264087504739158
large,default,statistics_tfidf,Support Vector Machine,0.13241308793456033,0.06104868913857678,0.8089330024813896,0.11352951419118927,0.35783499326869156
large,default,statistics_tfidf,Naive Bayes,0.9432515337423313,0.6215277777777778,0.4441687344913151,0.5180897250361794,0.9566628602044593
large,default,statistics_tfidf,Decision Tree,0.9461486025903204,0.9484536082474226,0.228287841191067,0.368,0.6465981352118942
large,default,statistics_tfidf,Random Forest,0.939161554192229,1.0,0.1141439205955335,0.20489977728285078,0.9374612637605879
large,default,statistics_tfidf,GBDT,0.9573960463531016,0.9322033898305084,0.4094292803970223,0.5689655172413792,0.9187525398486648
large,default,statistics_tfidf,NN,0.9763122017723245,0.8728813559322034,0.7667493796526055,0.8163804491413474,0.9757411817589488
large,default,statistics_tfidf_pos,Logistic Regression,0.9371165644171779,0.6666666666666666,0.1687344913151365,0.2693069306930693,0.7953995536677116
large,default,statistics_tfidf_pos,K-Nearest Neighbors,0.934560327198364,0.6301369863013698,0.1141439205955335,0.19327731092436973,0.7643447247201343
large,default,statistics_tfidf_pos,Support Vector Machine,0.12116564417177914,0.061600885282183694,0.8287841191066998,0.11467811158798284,0.4277958767614347
