stemming,sampling,features,algorithms,accuracy,precision,recall,f1,auc_roc
simple,default,statistics,Naive Bayes,0.9151329243353783,0.20125786163522014,0.0794044665012407,0.11387900355871886,0.6203601079733654
simple,default,statistics,Decision Tree,0.932856169052488,0.5542168674698795,0.1141439205955335,0.18930041152263374,0.7004361161372051
simple,default,statistics,Random Forest,0.9340490797546013,0.8333333333333334,0.04962779156327544,0.09367681498829039,0.7833197496361916
simple,default,statistics,GBDT,0.935412406271302,0.74,0.09181141439205956,0.16335540838852097,0.798542041731842
simple,default,statistics,NN,0.932856169052488,0.6666666666666666,0.04466501240694789,0.08372093023255814,0.7878230290206798
simple,default,statistics_tfidf,Logistic Regression,0.9582481254260395,0.8623853211009175,0.4665012406947891,0.605475040257649,0.9640336996769425
simple,default,statistics_tfidf,K-Nearest Neighbors,0.9318336741649625,0.5238095238095238,0.08188585607940446,0.14163090128755362,0.7297734965798597
simple,default,statistics_tfidf,Support Vector Machine,0.7815269256987049,0.10933333333333334,0.3052109181141439,0.16099476439790575,0.61286826386729
simple,default,statistics_tfidf,Naive Bayes,0.9377982276755283,0.5664335664335665,0.40198511166253104,0.47024673439767783,0.9452296250218513
simple,default,statistics_tfidf,Decision Tree,0.9429107021131561,0.7833333333333333,0.23325062034739455,0.3594646271510516,0.6782003228303732
simple,default,statistics_tfidf,Random Forest,0.940013633265167,1.0,0.12655086848635236,0.22466960352422907,0.9373416212804697
simple,default,statistics_tfidf,GBDT,0.9573960463531016,0.9090909090909091,0.4218362282878412,0.576271186440678,0.9209998660549084
simple,default,statistics_tfidf,NN,0.9769938650306749,0.9036144578313253,0.7444168734491315,0.8163265306122449,0.969321579462358
simple,default,statistics_tfidf_pos,Logistic Regression,0.9398432174505794,0.7192982456140351,0.20347394540942929,0.31721470019342357,0.8689149766504191
simple,default,statistics_tfidf_pos,K-Nearest Neighbors,0.9362644853442399,0.6218487394957983,0.18362282878411912,0.2835249042145594,0.8148792564458237
simple,default,statistics_tfidf_pos,Support Vector Machine,0.13940013633265166,0.06756002233389168,0.9007444168734491,0.12569252077562326,0.6164554950406261
simple,default,statistics_tfidf_pos,Naive Bayes,0.9302999318336742,0.49475524475524474,0.7022332506203474,0.5805128205128205,0.899320512442137
simple,default,statistics_tfidf_pos,Decision Tree,0.9464894342194956,0.8617886178861789,0.2630272952853598,0.40304182509505704,0.6546988619207726
simple,default,statistics_tfidf_pos,Random Forest,0.9389911383776415,1.0,0.11166253101736973,0.20089285714285712,0.9366759822829238
simple,default,statistics_tfidf_pos,GBDT,0.9582481254260395,0.9157894736842105,0.4317617866004963,0.5868465430016864,0.9245979944560354
simple,default,statistics_tfidf_pos,NN,0.9752897068847989,0.8664772727272727,0.7568238213399504,0.8079470198675498,0.9689964788332701
simple,default,statistics_tfidf_pos_liwc,Logistic Regression,0.9398432174505794,0.7192982456140351,0.20347394540942929,0.31721470019342357,0.8689149766504191
simple,default,statistics_tfidf_pos_liwc,K-Nearest Neighbors,0.9362644853442399,0.6218487394957983,0.18362282878411912,0.2835249042145594,0.8148792564458237
simple,default,statistics_tfidf_pos_liwc,Support Vector Machine,0.13940013633265166,0.06756002233389168,0.9007444168734491,0.12569252077562326,0.6164568571940999
simple,default,statistics_tfidf_pos_liwc,Naive Bayes,0.9302999318336742,0.49475524475524474,0.7022332506203474,0.5805128205128205,0.899320512442137
simple,default,statistics_tfidf_pos_liwc,Decision Tree,0.9464894342194956,0.8617886178861789,0.2630272952853598,0.40304182509505704,0.6546988619207726
simple,default,statistics_tfidf_pos_liwc,Random Forest,0.9389911383776415,1.0,0.11166253101736973,0.20089285714285712,0.9366759822829238
simple,default,statistics_tfidf_pos_liwc,GBDT,0.9582481254260395,0.9157894736842105,0.4317617866004963,0.5868465430016864,0.9245979944560354
simple,default,statistics_tfidf_pos_liwc,NN,0.9766530334014997,0.8888888888888888,0.7543424317617866,0.8161073825503355,0.9674940235516335
simple,under,statistics,Logistic Regression,0.7631224764468372,0.7910447761194029,0.7142857142857143,0.7507082152974505,0.836492478914877
simple,under,statistics,K-Nearest Neighbors,0.7321668909825033,0.7574850299401198,0.6819407008086253,0.7177304964539007,0.7717336173666058
simple,under,statistics,Support Vector Machine,0.4306864064602961,0.4624277456647399,0.862533692722372,0.6020696142991533,0.45964843636785213
simple,under,statistics,Naive Bayes,0.5302826379542396,0.9230769230769231,0.0646900269541779,0.12090680100755667,0.633763730690085
simple,under,statistics,Decision Tree,0.756393001345895,0.8958333333333334,0.5795148247978437,0.7037643207855975,0.7699837695272875
simple,under,statistics,Random Forest,0.7779273216689099,0.8065476190476191,0.7304582210242587,0.7666195190947667,0.8468901254963337
simple,under,statistics,GBDT,0.765814266487214,0.7957957957957958,0.7142857142857143,0.7528409090909091,0.8466292786134539
simple,under,statistics,NN,0.7604306864064603,0.8293515358361775,0.6549865229110512,0.7319277108433736,0.8371699562356896
simple,under,statistics_tfidf,Logistic Regression,0.9623149394347241,0.9858356940509915,0.9380053908355795,0.9613259668508287,0.9946309016607251
simple,under,statistics_tfidf,K-Nearest Neighbors,0.746971736204576,0.7667638483965015,0.7088948787061995,0.7366946778711485,0.8225154334405704
simple,under,statistics_tfidf,Support Vector Machine,0.5410497981157469,0.5441176470588235,0.49865229110512127,0.520393811533052,0.5911007738457525
simple,under,statistics_tfidf,Naive Bayes,0.7388963660834454,0.9783783783783784,0.48787061994609165,0.6510791366906475,0.9795235196939396
simple,under,statistics_tfidf,Decision Tree,0.8021534320323015,0.9028776978417267,0.6765498652291105,0.773497688751926,0.8122989305277801
simple,under,statistics_tfidf,Random Forest,0.9004037685060565,0.9655172413793104,0.8301886792452831,0.8927536231884059,0.9839035736022954
simple,under,statistics_tfidf,GBDT,0.882907133243607,0.9104046242774566,0.8490566037735849,0.8786610878661087,0.9661840999333391
simple,under,statistics_tfidf,NN,0.9663526244952894,0.9832402234636871,0.9487870619946092,0.9657064471879286,0.995804712633684
simple,under,statistics_tfidf_pos,Logistic Regression,0.8775235531628532,0.8571428571428571,0.9056603773584906,0.8807339449541285,0.9350056516824623
simple,under,statistics_tfidf_pos,K-Nearest Neighbors,0.8438761776581427,0.8277634961439588,0.8679245283018868,0.8473684210526317,0.9162319218618671
simple,under,statistics_tfidf_pos,Support Vector Machine,0.46567967698519513,0.48142857142857143,0.9083557951482479,0.6293183940242765,0.7547966843462888
simple,under,statistics_tfidf_pos,Naive Bayes,0.8748317631224765,0.9512987012987013,0.7897574123989218,0.8630338733431516,0.9315494304843056
simple,under,statistics_tfidf_pos,Decision Tree,0.7792732166890982,0.7851239669421488,0.7681940700808625,0.776566757493188,0.855505318378112
simple,under,statistics_tfidf_pos,Random Forest,0.8977119784656796,0.9019073569482289,0.8921832884097035,0.8970189701897019,0.9676078891690577
simple,under,statistics_tfidf_pos,GBDT,0.9152086137281292,0.9184782608695652,0.9110512129380054,0.9147496617050068,0.9774005158971684
simple,under,statistics_tfidf_pos,NN,0.9744279946164199,0.9861878453038674,0.9622641509433962,0.9740791268758526,0.9977755557487755
simple,under,statistics_tfidf_pos_liwc,Logistic Regression,0.8775235531628532,0.8571428571428571,0.9056603773584906,0.8807339449541285,0.9350056516824623
simple,under,statistics_tfidf_pos_liwc,K-Nearest Neighbors,0.8438761776581427,0.8277634961439588,0.8679245283018868,0.8473684210526317,0.9162319218618671
simple,under,statistics_tfidf_pos_liwc,Support Vector Machine,0.46567967698519513,0.48142857142857143,0.9083557951482479,0.6293183940242765,0.7639842912210533
simple,under,statistics_tfidf_pos_liwc,Naive Bayes,0.8748317631224765,0.9512987012987013,0.7897574123989218,0.8630338733431516,0.9315494304843056
simple,under,statistics_tfidf_pos_liwc,Decision Tree,0.7792732166890982,0.7851239669421488,0.7681940700808625,0.776566757493188,0.855505318378112
simple,under,statistics_tfidf_pos_liwc,Random Forest,0.8977119784656796,0.9019073569482289,0.8921832884097035,0.8970189701897019,0.9676078891690577
simple,under,statistics_tfidf_pos_liwc,GBDT,0.9152086137281292,0.9184782608695652,0.9110512129380054,0.9147496617050068,0.9774005158971684
